step,loss,lrm,dt
348,4.540562,0.4972,0.445
349,4.499547,0.4943,0.436
350,4.558087,0.4914,0.449
351,4.621670,0.4885,0.449
352,4.558837,0.4855,0.448
353,4.564830,0.4826,0.440
354,4.490745,0.4797,0.437
355,4.697302,0.4768,0.444
356,4.699623,0.4738,0.437
357,4.383595,0.4709,0.441
358,4.575834,0.4680,0.446
359,4.753887,0.4651,0.469
360,4.364435,0.4622,0.448
361,4.521611,0.4592,0.434
362,4.555418,0.4563,0.453
363,4.455165,0.4534,0.475
364,4.526163,0.4505,0.444
365,4.219110,0.4475,0.453
366,4.547041,0.4446,0.443
367,4.413057,0.4417,0.450
368,4.406291,0.4388,0.440
369,4.476314,0.4358,0.446
370,4.611068,0.4329,0.443
371,4.437347,0.4300,0.440
372,4.524982,0.4271,0.428
373,4.639455,0.4242,0.440
374,4.399718,0.4212,0.442
375,4.715045,0.4183,0.444
376,4.562889,0.4154,0.446
377,4.528270,0.4125,0.439
378,4.544526,0.4095,0.438
379,4.554832,0.4066,0.435
380,4.425269,0.4037,0.449
381,4.661382,0.4008,0.433
382,4.466464,0.3978,0.439
383,4.335853,0.3949,0.439
384,4.464949,0.3920,0.443
385,4.590912,0.3891,0.434
386,4.461136,0.3862,0.426
387,4.540623,0.3832,0.434
388,4.338716,0.3803,0.427
389,4.400173,0.3774,0.432
390,4.373147,0.3745,0.439
391,4.463450,0.3715,0.417
392,4.414710,0.3686,0.432
393,4.351702,0.3657,0.420
394,4.364355,0.3628,0.426
395,4.268167,0.3598,0.417
396,4.482927,0.3569,0.417
397,4.230443,0.3540,0.419
398,4.444355,0.3511,0.422
399,4.460380,0.3482,0.431
400,4.460955,0.3452,0.417
401,4.396722,0.3423,0.442
402,4.442295,0.3394,0.426
403,4.510692,0.3365,0.432
404,4.462367,0.3335,0.421
405,4.391212,0.3306,0.424
406,4.420176,0.3277,0.420
407,4.475841,0.3248,0.415
408,4.494832,0.3218,0.434
409,4.429627,0.3189,0.425
410,4.447591,0.3160,0.430
411,4.679833,0.3131,0.422
412,4.510891,0.3102,0.429
413,4.486364,0.3072,0.426
414,4.354051,0.3043,0.423
415,4.376226,0.3014,0.411
416,4.418101,0.2985,0.425
417,4.328009,0.2955,0.418
418,4.410476,0.2926,0.421
419,4.387326,0.2897,0.418
420,4.378983,0.2868,0.418
421,4.444915,0.2838,0.498
422,4.291231,0.2809,0.461
423,4.420136,0.2780,0.419
424,4.237731,0.2751,0.451
425,4.220030,0.2722,0.543
426,4.307663,0.2692,0.443
427,4.533760,0.2663,0.453
428,4.408979,0.2634,0.448
429,4.250909,0.2605,0.449
430,4.564492,0.2575,0.444
431,4.183794,0.2546,0.435
432,4.321517,0.2517,0.428
433,4.324606,0.2488,0.456
434,4.404095,0.2458,0.444
435,4.340400,0.2429,0.440
436,4.421353,0.2400,0.437
437,4.460465,0.2371,0.448
438,4.403799,0.2342,0.452
439,4.367031,0.2312,0.446
440,4.222184,0.2283,0.450
441,4.310119,0.2254,0.430
442,4.410898,0.2225,0.438
443,4.321430,0.2195,0.451
444,4.209826,0.2166,0.447
445,4.244444,0.2137,0.449
446,4.371891,0.2108,0.449
447,4.345579,0.2078,0.439
448,4.316481,0.2049,0.443
449,4.159488,0.2020,0.441
450,4.336690,0.1991,0.441
451,4.263034,0.1962,0.448
452,4.142149,0.1932,0.440
453,4.291739,0.1903,0.434
454,4.022407,0.1874,0.439
455,4.359419,0.1845,0.445
456,4.363952,0.1815,0.436
457,4.455467,0.1786,0.462
458,4.263185,0.1757,0.455
459,4.388425,0.1728,0.448
460,4.260077,0.1698,0.437
461,4.452460,0.1669,0.439
462,4.425072,0.1640,0.441
463,4.294386,0.1611,0.439
464,4.260507,0.1582,0.440
465,4.170366,0.1552,0.451
466,4.166646,0.1523,0.447
467,4.275863,0.1494,0.439
468,4.468925,0.1465,0.441
469,4.433037,0.1435,0.452
470,4.262227,0.1406,0.440
471,4.293697,0.1377,0.440
472,4.297761,0.1348,0.435
